Date,France: CAC 40,UK: FTSE 100,Germany: DAX,US: S&P 500,Canada: TSX Composite,Japan: Nikkei 225
2016-11-18,4504.35009765625,6775.7998046875,10664.5595703125,2181.89990234375,14864.0,17967.41015625
2016-11-21,4529.580078125,6778.0,10685.1298828125,2198.179931640625,15039.900390625,18106.01953125
2016-11-22,4548.35009765625,6819.7001953125,10713.849609375,2202.93994140625,15100.400390625,18162.939453125
2016-11-25,4550.27001953125,6840.7998046875,10699.26953125,2213.35009765625,15075.400390625,18381.220703125
2016-11-28,4510.39013671875,6799.5,10582.669921875,2201.719970703125,15015.400390625,18356.890625
2016-11-29,4551.4599609375,6772.0,10620.490234375,2204.659912109375,14999.7998046875,18307.0390625
2016-11-30,4578.33984375,6783.7998046875,10640.2998046875,2198.81005859375,15082.900390625,18308.48046875
2016-12-01,4560.60986328125,6752.89990234375,10534.0498046875,2191.080078125,15027.5,18513.119140625
2016-12-02,4528.81982421875,6730.7001953125,10513.349609375,2191.949951171875,15052.5,18426.080078125
2016-12-05,4574.31982421875,6746.7998046875,10684.830078125,2204.7099609375,15095.2001953125,18274.990234375
2016-12-06,4631.93994140625,6779.7998046875,10775.3203125,2212.22998046875,15125.7998046875,18360.5390625
2016-12-07,4694.72021484375,6902.2001953125,10986.6904296875,2241.35009765625,15237.7998046875,18496.689453125
2016-12-08,4735.47998046875,6931.60009765625,11179.419921875,2246.18994140625,15295.2001953125,18765.470703125
2016-12-09,4764.06982421875,6954.2001953125,11203.6298828125,2259.530029296875,15312.2001953125,18996.369140625
2016-12-12,4760.77001953125,6890.39990234375,11190.2099609375,2256.9599609375,15287.7001953125,19155.029296875
2016-12-13,4803.8701171875,6968.60009765625,11284.650390625,2271.719970703125,15385.2998046875,19250.51953125
2016-12-14,4769.240234375,6949.2001953125,11244.83984375,2253.280029296875,15197.2001953125,19253.609375
2016-12-15,4819.22998046875,6999.0,11366.400390625,2262.030029296875,15218.2998046875,19273.7890625
