Date,PC 1 - Level,PC 2 - Slope,PC 3 - Curvature
1986-03-25,8.727297771796776,-1.4276859101273687,-2.8989024211438306
1986-03-26,8.58505627847611,-1.3618162408066854,-2.552203451816551
1986-03-27,8.180862793849542,-1.2055188897358764,-1.6171879845699575
1986-03-31,7.872330590458539,-1.0957053863141375,-0.9052304147144615
1986-04-01,7.937063324030888,-1.1126239965610156,-1.2602728491712054
1986-04-02,8.006791589471137,-1.1123593141970878,-1.4486243752277705
1986-04-03,8.049177822566307,-1.1509311847472017,-1.5173955269895714
1986-04-04,8.226715307013766,-1.3192822868500054,-1.944391808331397
1986-04-07,8.305784031476973,-1.432697936980019,-2.185054456496227
1986-04-08,8.058507331870581,-1.330549196060705,-1.7113424344956578
1986-04-09,7.856300091312546,-1.4932208684332422,-0.9467534256621113
1986-04-10,7.849957355948359,-1.5768382947875645,-0.9301287846932532
1986-04-11,7.908571100490525,-1.6962918325060639,-0.9033039595406013
1986-04-14,7.833007576633073,-1.600804568744075,-0.991244628922735
1986-04-15,7.884463336207341,-1.683235179045432,-1.1292510199204693
1986-04-16,7.854746616514246,-1.40654835508313,-2.118429007856501
1986-04-17,7.714151012893674,-1.5963779987692563,-1.1306216303460364
1986-04-18,7.747105125229389,-1.716025184141058,-1.0327186781507596
1986-04-21,7.799386784553327,-1.6362200979954382,-1.409431693139138
1986-04-22,7.996507353833479,-1.7850599654612012,-1.5135075959744182
1986-04-23,8.120614784996386,-1.8624910353312476,-1.032148683951625
1986-04-24,8.187887270205168,-1.8239729646344378,-0.8237525995766627
1986-04-25,8.266630679929857,-1.7319725969850241,-0.9858560555558892
1986-04-28,8.234276708463945,-1.6409766935038657,-1.1797717222850805
1986-04-29,8.11886430511681,-1.5815494573935223,-1.1581183403638045
1986-04-30,8.076049609196387,-1.5532488447796755,-1.0774363875932915
1986-05-01,8.187701676641222,-1.6285694480544708,-1.3266564072178406
1986-05-02,8.356091741828397,-1.7602174765063425,-1.5914541303707692
1986-05-05,8.296609533765313,-1.655540893586738,-1.6713849796193805
1986-05-06,8.121903200912044,-1.739394076924293,-0.8800376834058226
1986-05-07,8.206161986907302,-1.836375212895449,-0.9073670075326513
1986-05-08,8.130126060314435,-1.8942332826017165,-0.5858820004619466
1986-05-09,8.153711638954729,-2.0005542777981145,-0.3144876162572466
1986-05-12,8.41407203030524,-2.1437249099808207,-0.6695717142881807
1986-05-13,8.53227090133239,-2.090124235255432,-1.0332845984707308
1986-05-14,8.333704813697043,-2.094472649672583,-0.23686275837675907
1986-05-15,8.243307445424556,-2.3122512356452667,1.0732810003627415
1986-05-16,8.421494164028399,-2.4930146975474416,1.348656125146912
1986-05-19,8.542406029226814,-2.3937971429979537,0.7123117598451881
1986-05-20,8.57171582367194,-2.2573443031777236,0.1796800829185663
1986-05-21,8.43850858293105,-2.3698420987769553,0.87839115055262
1986-05-22,8.466007167682474,-2.323104651881691,0.6352476558532067
1986-05-23,8.421388847097322,-2.3126209983740944,0.6891785655400742
1986-05-27,8.383499611394127,-2.149811128475528,0.3342993573709703
1986-05-28,8.313123372710809,-2.083191260111736,0.3937525794777171
1986-05-29,8.457267831773063,-2.3939015830071866,1.0857550213408778
1986-05-30,8.755097427531712,-2.3972179953265664,0.02160402791805005
1986-06-02,8.736576062443428,-2.7972560664738393,1.5756559110178863
1986-06-03,8.877128921154826,-2.602408684925853,0.5738838525076655
1986-06-04,8.881273517591023,-2.789484944267929,1.3497878536985681
1986-06-05,8.889142172898392,-2.59177512436089,0.8565246048932756
1986-06-06,8.823201071595154,-2.1822755742691764,-0.679321324793471
1986-06-09,8.917329201977786,-2.4793420671485746,-0.21515485764415873
1986-06-10,9.073197251905217,-2.427178084693113,-0.8652284252280146
1986-06-11,8.983718005220375,-2.3674563536232776,-0.6681804413999307
1986-06-12,8.932909787536893,-2.2539927249494904,-0.8808465774093427
1986-06-13,8.912840553418876,-1.9767190964647638,-2.0643520753431073
1986-06-16,8.607599763377202,-1.9549167737966648,-1.2440183994267398
1986-06-17,8.567008353968632,-1.9718058851448705,-1.195812091101612
1986-06-18,8.631820187118983,-1.9438992844984655,-1.6543354178559244
1986-06-19,8.696578820718734,-2.130448491737326,-1.2967365066029006
1986-06-20,8.667691895564644,-2.059301568098085,-1.4730065027237482
1986-06-23,8.50759152583568,-1.9941893864538298,-1.0595099046010732
1986-06-24,8.392267515944217,-1.8776408296331983,-0.9900650959108895
1986-06-25,8.382703265169015,-1.87272810881256,-1.132008370892307
1986-06-26,8.398566555615044,-1.9059171618343114,-1.154250981143942
1986-06-27,8.304636023601654,-1.989330268765353,-0.7635897806342636
1986-06-30,8.22037031559617,-1.9728263526753076,-0.6124597000141293
1986-07-01,8.135012045281403,-2.118122752069114,0.006311739748968481
1986-07-02,8.223727775276434,-2.064665550346213,-0.5011850182699638
1986-07-03,8.196126096222342,-2.130859037615856,-0.5538676944315454
1986-07-07,8.082875798620531,-2.1547199560070394,-0.08203297860321236
1986-07-08,8.278755143666363,-2.297103273957903,-0.24913626541494904
1986-07-09,8.254551314555078,-2.0842576987408017,-0.9001029437741767
1986-07-10,8.240808772878225,-2.1681096512249862,-0.7712572994063182
1986-07-11,8.359610969277917,-2.367382935675853,-1.1743362882015573
1986-07-14,8.26616537522405,-2.270959262863083,-1.1025708299168135
1986-07-15,8.214560584594741,-2.165247516623603,-1.3027404892947532
1986-07-16,8.204323942686072,-2.1629245428682693,-1.2265859305971143
1986-07-17,8.42859273148882,-2.1847619102228326,-2.1211642174257785
1986-07-18,8.450361464546111,-2.2401029597595494,-2.252227814230757
1986-07-21,8.3529727694132,-2.35550043094435,-1.52639865263957
1986-07-22,8.599525112041418,-2.2315661951017187,-2.7467072668546977
1986-07-23,8.726937958335514,-2.239778567361276,-2.86710554491177
1986-07-24,8.816946742176203,-2.291116753484977,-2.9217613247657352
1986-07-25,8.844603672755664,-2.276951547820991,-3.111832114494742
1986-07-28,9.009033594369791,-2.4881911095503972,-2.8823571519428373
1986-07-29,8.943887436896206,-2.3075774181059736,-3.2530351646537397
1986-07-30,8.836391174670679,-2.396155852366684,-2.742433819079872
1986-07-31,8.670400663056503,-2.395819814879468,-2.3630080749410394
1986-08-01,8.667092908615576,-2.494822433552166,-2.2952395418252953
1986-08-04,8.691523987046379,-2.45690555198043,-2.530545523967448
1986-08-05,8.795383133001053,-2.5870551717912993,-2.5857113843464488
